ticker,score_total,qualidade,valuation,dividendos,crescimento,seguranca,peso_pct,classificacao,motivos,pontos_fortes,pontos_fracos
ALOS3,46.3,,,,,,2.0,,ROE abaixo da média (0.07 vs ref 0.12); Margem Líquida acima da média (0.28 vs ref 0.08); P/L na média (16.34); P/VP abaixo da média (1.04 vs ref 1.50); Dividend Yield acima da média (0.13 vs ref 0.04); Crescimento Lucro abaixo da média (-0.43 vs ref 0.05); Endividamento abaixo da média (0.48 vs ref 1.00); Liquidez Corrente abaixo da média (0.77 vs ref 1.50),Margem Líquida acima da média (0.28 vs ref 0.08); P/VP abaixo da média (1.04 vs ref 1.50); Dividend Yield acima da média (0.13 vs ref 0.04); Endividamento abaixo da média (0.48 vs ref 1.00),ROE abaixo da média (0.07 vs ref 0.12); P/L na média (16.34); Crescimento Lucro abaixo da média (-0.43 vs ref 0.05); Liquidez Corrente abaixo da média (0.77 vs ref 1.50)
SBSP3,45.6,,,,,,2.0,,ROE acima da média (0.21 vs ref 0.12); Margem Líquida acima da média (0.22 vs ref 0.08); P/L abaixo da média (10.99 vs ref 15.00); P/VP acima da média (2.24 vs ref 1.50); Dividend Yield acima da média (0.05 vs ref 0.04); Crescimento Lucro abaixo da média (-0.28 vs ref 0.05); Endividamento na média (1.18); Liquidez Corrente na média (1.74),ROE acima da média (0.21 vs ref 0.12); Margem Líquida acima da média (0.22 vs ref 0.08); P/L abaixo da média (10.99 vs ref 15.00); Dividend Yield acima da média (0.05 vs ref 0.04); Liquidez Corrente na média (1.74),P/VP acima da média (2.24 vs ref 1.50); Crescimento Lucro abaixo da média (-0.28 vs ref 0.05); Endividamento na média (1.18)
ANIM3,45.4,,,,,,2.0,,ROE abaixo da média (0.09 vs ref 0.12); Margem Líquida abaixo da média (0.03 vs ref 0.08); P/L abaixo da média (7.25 vs ref 15.00); P/VP abaixo da média (0.41 vs ref 1.50); Dividend Yield abaixo da média (0.03 vs ref 0.04); Crescimento Lucro abaixo da média (-0.31 vs ref 0.05); Endividamento acima da média (2.02 vs ref 1.00); Liquidez Corrente acima da média (1.90 vs ref 1.50),P/L abaixo da média (7.25 vs ref 15.00); P/VP abaixo da média (0.41 vs ref 1.50); Liquidez Corrente acima da média (1.90 vs ref 1.50),ROE abaixo da média (0.09 vs ref 0.12); Margem Líquida abaixo da média (0.03 vs ref 0.08); Dividend Yield abaixo da média (0.03 vs ref 0.04); Crescimento Lucro abaixo da média (-0.31 vs ref 0.05); Endividamento acima da média (2.02 vs ref 1.00)
BPAC11,45.4,,,,,,2.0,,ROE acima da média (0.25 vs ref 0.12); Margem Líquida acima da média (0.39 vs ref 0.08); P/L acima da média (85.03 vs ref 15.00); P/VP acima da média (3.38 vs ref 1.50); Dividend Yield abaixo da média (0.03 vs ref 0.04),ROE acima da média (0.25 vs ref 0.12); Margem Líquida acima da média (0.39 vs ref 0.08),P/L acima da média (85.03 vs ref 15.00); P/VP acima da média (3.38 vs ref 1.50); Dividend Yield abaixo da média (0.03 vs ref 0.04)
CSMG3,44.4,,,,,,2.0,,ROE acima da média (0.16 vs ref 0.12); Margem Líquida acima da média (0.16 vs ref 0.08); P/L na média (16.62); P/VP acima da média (2.57 vs ref 1.50); Dividend Yield abaixo da média (0.02 vs ref 0.04); Endividamento na média (1.08); Liquidez Corrente na média (1.60),ROE acima da média (0.16 vs ref 0.12); Margem Líquida acima da média (0.16 vs ref 0.08); Liquidez Corrente na média (1.60),P/L na média (16.62); P/VP acima da média (2.57 vs ref 1.50); Dividend Yield abaixo da média (0.02 vs ref 0.04); Endividamento na média (1.08)
BEEF3,44.2,,,,,,2.0,,ROE acima da média (0.84 vs ref 0.12); Margem Líquida abaixo da média (0.01 vs ref 0.08); P/L abaixo da média (7.45 vs ref 15.00); P/VP acima da média (2.74 vs ref 1.50); Dividend Yield na média (0.04); Crescimento Lucro abaixo da média (-0.10 vs ref 0.05); Endividamento acima da média (13.29 vs ref 1.00); Liquidez Corrente na média (1.32),ROE acima da média (0.84 vs ref 0.12); P/L abaixo da média (7.45 vs ref 15.00),Margem Líquida abaixo da média (0.01 vs ref 0.08); P/VP acima da média (2.74 vs ref 1.50); Dividend Yield na média (0.04); Crescimento Lucro abaixo da média (-0.10 vs ref 0.05); Endividamento acima da média (13.29 vs ref 1.00)
SMFT3,44.1,,,,,,2.0,,ROE na média (0.12); Margem Líquida na média (0.09); P/L na média (17.05); P/VP acima da média (1.97 vs ref 1.50); Dividend Yield acima da média (0.06 vs ref 0.04); Endividamento acima da média (2.52 vs ref 1.00); Liquidez Corrente na média (1.72),ROE na média (0.12); Margem Líquida na média (0.09); Dividend Yield acima da média (0.06 vs ref 0.04); Liquidez Corrente na média (1.72),P/L na média (17.05); P/VP acima da média (1.97 vs ref 1.50); Endividamento acima da média (2.52 vs ref 1.00)
KLBN11,43.3,,,,,,2.0,,ROE abaixo da média (0.05 vs ref 0.12); Margem Líquida abaixo da média (0.02 vs ref 0.08); P/L acima da média (25.61 vs ref 15.00); P/VP acima da média (2.30 vs ref 1.50); Dividend Yield acima da média (0.10 vs ref 0.04); Endividamento acima da média (2.27 vs ref 1.00); Liquidez Corrente na média (1.78),Dividend Yield acima da média (0.10 vs ref 0.04); Liquidez Corrente na média (1.78),ROE abaixo da média (0.05 vs ref 0.12); Margem Líquida abaixo da média (0.02 vs ref 0.08); P/L acima da média (25.61 vs ref 15.00); P/VP acima da média (2.30 vs ref 1.50); Endividamento acima da média (2.27 vs ref 1.00)
CPLE3,42.4,,,,,,2.0,,ROE na média (0.11); Margem Líquida acima da média (0.10 vs ref 0.08); P/L na média (16.33); P/VP acima da média (1.85 vs ref 1.50); Dividend Yield acima da média (0.07 vs ref 0.04); Crescimento Lucro abaixo da média (-0.25 vs ref 0.05); Endividamento na média (0.99); Liquidez Corrente na média (1.37),Margem Líquida acima da média (0.10 vs ref 0.08); Dividend Yield acima da média (0.07 vs ref 0.04); Endividamento na média (0.99),ROE na média (0.11); P/L na média (16.33); P/VP acima da média (1.85 vs ref 1.50); Crescimento Lucro abaixo da média (-0.25 vs ref 0.05); Liquidez Corrente na média (1.37)
RENT3,42.3,,,,,,2.0,,ROE abaixo da média (0.09 vs ref 0.12); Margem Líquida abaixo da média (0.05 vs ref 0.08); P/L acima da média (19.72 vs ref 15.00); P/VP na média (1.70); Dividend Yield acima da média (0.05 vs ref 0.04); Endividamento acima da média (1.66 vs ref 1.00); Liquidez Corrente na média (1.23),Dividend Yield acima da média (0.05 vs ref 0.04),ROE abaixo da média (0.09 vs ref 0.12); Margem Líquida abaixo da média (0.05 vs ref 0.08); P/L acima da média (19.72 vs ref 15.00); P/VP na média (1.70); Endividamento acima da média (1.66 vs ref 1.00)
